REGIONAL,LOCAL_DE_EXECUÇÃO
Barreiro,CRAS INDEPENDÊNCIA
Barreiro,CRAS PETRÓPOLIS
Barreiro,CRAS VILA CEMIG
Barreiro,CREAS BARREIRO
Barreiro,GERASOC-B
Centro Sul,CRAS SANTA RITA DE CÁSSIA
Centro Sul,CRAS VILA FÁTIMA
Centro Sul,CRAS VILA MARÇOLA
Centro Sul,CREAS CENTRO SUL
Centro Sul,GERASOC-CS
Leste,CRAS ALTO VERA CRUZ
Leste,CRAS GRANJA DE FREITAS
Leste,CRAS MARIANO DE ABREU
Leste,CRAS TAQUARIL
Leste,CREAS LESTE
Leste,GERASOC-L
Nordeste,CRAS ARTHUR DE SÁ/UNIÃO
Nordeste,CRAS CONJUNTO PAULO VI
Nordeste,CRAS VILA MARIA
Nordeste,CREAS NORDESTE
Nordeste,GERASOC-NE
Noroeste,CRAS CONJUNTO CALIFÓRNIA
Noroeste,CRAS COQUEIRAL
Noroeste,CRAS PEDREIRA PRADO LOPES
Noroeste,CRAS SUMARÉ
Noroeste,CRAS VILA SENHOR DOS PASSOS
Noroeste,CREAS NOROESTE
Noroeste,GERASOC-NO
Norte,CRAS CONJUNTO JARDIM FELICIDADE
Norte,CRAS NOVO AARÃO REIS
Norte,CRAS PROVIDÊNCIA
Norte,CRAS VILA BIQUINHAS
Norte,CRAS ZILAH SPÓSITO
Norte,CREAS NORTE
Norte,GERASOC-N
Oeste,CRAS GRACA SABOIA/MORRO DAS PEDRAS
Oeste,CRAS HAVAÍ/VENTOSA
Oeste,CRAS VILA ANTENA
Oeste,CRAS VISTA ALEGRE I
Oeste,CREAS OESTE
Oeste,GERASOC-O
Pampulha,CRAS CONFISCO
Pampulha,CRAS NOVO OURO PRETO
Pampulha,CRAS VILA SANTA ROSA
Pampulha,CRAS VILA SÃO JOSÉ
Pampulha,CREAS PAMPULHA
Pampulha,GERASOC-P
Venda Nova,CRAS APOLÔNIA
Venda Nova,CRAS LAGOA
Venda Nova,CRAS MANTIQUEIRA
Venda Nova,CREAS VENDA NOVA
Venda Nova,GERASOC-VN
